Measure,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Geography_type, Number of stop and searches , Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ,Population by ethnicity,"Rate per 1,000 population by ethnicity",Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported),Notes
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Durham,Police Force Area,26, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Dyfed-Powys,Police Force Area,272, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Essex,Police Force Area,317, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Gloucestershire,Police Force Area,94, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Greater Manchester,Police Force Area,863, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Gwent,Police Force Area,180, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Hampshire,Police Force Area,"1,783", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Hertfordshire,Police Force Area,"2,766", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Humberside,Police Force Area,135, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Kent,Police Force Area,49, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Lancashire,Police Force Area,276, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Leicestershire,Police Force Area,247, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Lincolnshire,Police Force Area,88, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,"London, City of",Police Force Area,409, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Merseyside,Police Force Area,505, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Metropolitan Police,Police Force Area,"18,556", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Norfolk,Police Force Area,205, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,North Wales,Police Force Area,130, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,North Yorkshire,Police Force Area,236, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Northamptonshire,Police Force Area,247, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Northumbria,Police Force Area,134, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Nottinghamshire,Police Force Area,310, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,South Wales,Police Force Area,"3,315", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,South Yorkshire,Police Force Area,625, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Staffordshire,Police Force Area,244, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Suffolk,Police Force Area,252, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Surrey,Police Force Area,852, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Sussex,Police Force Area,135, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Thames Valley,Police Force Area,"1,354", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Warwickshire,Police Force Area,93, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,West Mercia,Police Force Area,112, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,West Midlands,Police Force Area,"1,480", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,West Yorkshire,Police Force Area,"1,358", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Wiltshire,Police Force Area,255, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,All - including BTP,Police Force Area,"31,223", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,All - excluding BTP,Police Force Area,"30,126", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Avon & Somerset,Police Force Area,426, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Bedfordshire,Police Force Area,496, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,British Transport Police,Police Force Area,"1,097", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Cambridgeshire,Police Force Area,309, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Cheshire,Police Force Area,165, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Cleveland,Police Force Area,37, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Cumbria,Police Force Area,532, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Derbyshire,Police Force Area,185, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Devon & Cornwall,Police Force Area,496, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Dorset,Police Force Area,201, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Durham,Police Force Area,17, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Dyfed-Powys,Police Force Area,45, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Essex,Police Force Area,483, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Gloucestershire,Police Force Area,40, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Greater Manchester,Police Force Area,314, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Gwent,Police Force Area,86, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Hampshire,Police Force Area,"1,195", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Hertfordshire,Police Force Area,948, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Humberside,Police Force Area,"1,257", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Kent,Police Force Area,384, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Lancashire,Police Force Area,292, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Leicestershire,Police Force Area,250, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Lincolnshire,Police Force Area,38, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,"London, City of",Police Force Area,336, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Merseyside,Police Force Area,484, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Metropolitan Police,Police Force Area,"12,395", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Norfolk,Police Force Area,202, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,North Wales,Police Force Area,92, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,North Yorkshire,Police Force Area,307, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Northamptonshire,Police Force Area,159, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Northumbria,Police Force Area,80, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Nottinghamshire,Police Force Area,176, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,South Wales,Police Force Area,"2,720", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,South Yorkshire,Police Force Area,350, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Staffordshire,Police Force Area,106, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Suffolk,Police Force Area,160, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Surrey,Police Force Area,"1,052", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Sussex,Police Force Area,216, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Thames Valley,Police Force Area,"1,329", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Warwickshire,Police Force Area,30, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,West Mercia,Police Force Area,96, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,West Midlands,Police Force Area,352, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,West Yorkshire,Police Force Area,"1,115", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Unreported,ONS 2001 5+1,Wiltshire,Police Force Area,173, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Unreported,ONS 2001 5+1,All - including BTP,Police Force Area,"33,280", N/A , N/A , N/A , N/A ,
